"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Narrow Margin","6.3","An L.A. District Attorney attempts to take an unwilling murder witness back to the United States to testify against a top-level mob boss. Frantically attempting to escape two deadly hitmen sent to silence her, they board a Vancouver-bound train only to discover that the killers are onboard with them. For the next 20 hours, as the train hurls through the beautiful but isolated Canadian wilderness, a deadly game of cat and mouse ensues in which their ability to tell friend from foe is a matter of life and death.","1990-09-21","en","Peter Hyams","Gene Hackman, Anne Archer, James B. Sikking, Harris Yulin, J.T. Walsh","10900000","Action, Thriller, Crime, Mystery","Боевик, Триллер, Криминал, Мистика"
"Maniac Cop 2","5.9","After being framed by corrupt superiors and brutally assaulted in prison, Officer Matt Cordell teams up with a vicious serial killer to track down those that wronged him.","1990-07-18","en","William Lustig","Robert Davi, Claudia Christian, Michael Lerner, Bruce Campbell, Laurene Landon","0","Action, Horror, Thriller","Боевик, Ужасы, Триллер"
"The King of the Kickboxers","6.6","Jake, a New York policeman  poses as an actor to expose the making of martial-arts death movies in Thailand.","1990-11-01","en","Lo Yuen-Ming","Loren Avedon, Billy Blanks, Keith Cooke, Jerry Trimble, Richard Jaeckel","0","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"The Ambulance","5.8","Josh meets a young woman who shortly afterwards collapses and is rushed to hospital in an ambulance. He follows after her only to find that there is no record her being admitted, and he soon learns that her roommate also vanished after being picked up by the same ambulance. Convinced of a conspiracy, Josh proceeds to investigate, despite the discouragement of the police.","1990-03-22","en","Larry Cohen","Eric Roberts, Megan Gallagher, James Earl Jones, Red Buttons, Janine Turner","0","Action, Thriller, Comedy","Боевик, Триллер, Комедия"
"Hired to Kill","4.8","A fashion photographer and seven models travel to a South American island fortress, ostensibly to do a fashion shoot. In reality, the photographer is a mercenary and their job is to free an imprisoned rebel leader","1990-11-10","en","Nico Mastorakis","Brian Thompson, Oliver Reed, George Kennedy, José Ferrer, Michelle Moffett","0","Action, Thriller","Боевик, Триллер"
"Terminator 2: Judgment Day","8.1","Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get the rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.","1991-07-03","en","James Cameron","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen","520000000","Action, Thriller, Science Fiction","Боевик, Триллер, Научная фантастика"
"Double Impact","6.135","Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend.","1991-07-31","en","Sheldon Lettich","Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw, Bolo Yeung, Cory Everson","30102717","Thriller, Action, Crime, Drama","Триллер, Боевик, Криминал, Драма"
"Point Break","7.2","In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.","1991-07-12","en","Kathryn Bigelow","Keanu Reeves, Patrick Swayze, Lori Petty, Gary Busey, John C. McGinley","83531958","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"The Last Boy Scout","6.8","When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.","1991-12-13","en","Tony Scott","Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron","59500000","Action, Thriller","Боевик, Триллер"
"Operation Condor","7.3","Hired by a Spanish baron, Hong Kong treasure hunter Jackie, a.k.a. ""Asian Hawk"" and his entourage seek WWII Nazi gold buried in the Sahara Desert.","1991-02-07","cn","Jackie Chan","Jackie Chan, Carol Cheng, Eva Cobo, Shôko Ikeda, Vincent Lyn","24100000","Action, Adventure, Crime, Thriller","Боевик, Приключения, Криминал, Триллер"
