"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Frankenhooker","6.2","A medical school dropout loses his fiancée in a tragic lawnmower incident and decides to bring her back to life. Unfortunately, he was only able to save her head, so he goes to the red light district in the city and lures prostitutes into a hotel room so he can collect body parts to reassemble her.","1990-06-01","en","Frank Henenlotter","James Lorinz, Patty Mullen, Joseph Gonzalez, Charlotte J. Helmkamp, Joanne Ritchie","205068","Comedy, Horror, Science Fiction","Комедия, Ужасы, Научная фантастика"
"Leatherface: The Texas Chainsaw Massacre III","5.3","Two college students driving coast to coast are lured off the main highway and onto a deserted Texas road. Here they are stalked by the menacing Leatherface and his demented family...a bizarre cannibalistic clan with blood on their hands and a feast on their minds. The students’ only chance for escape is a survivalist with enough firepower to blast Leatherface and the rest of the grisly predators to hell. A depraved shocker of intense terror from the gruesome beginning to the bloody finish.","1990-01-12","en","Jeff Burr","Kate Hodge, Ken Foree, R.A. Mihailoff, William Butler, Viggo Mortensen","55800000","Horror, Thriller","Ужасы, Триллер"
"Tremors","6.905","Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.","1990-01-19","en","Ron Underwood","Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire","48572000","Horror, Action, Science Fiction, Comedy","Ужасы, Боевик, Научная фантастика, Комедия"
"Child's Play 2","6.3","Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.","1990-11-09","en","John Lafia","Alex Vincent, Brad Dourif, Christine Elise, Jenny Agutter, Gerrit Graham","35763605","Horror, Thriller","Ужасы, Триллер"
"The Exorcist III","6.2","On the fifteenth anniversary of the exorcism that claimed Father Damien Karras' life, Police Lieutenant Kinderman's world is once again shattered when a boy is found decapitated and savagely crucified.","1990-08-17","en","William Peter Blatty","George C. Scott, Ed Flanders, Brad Dourif, Jason Miller, Nicol Williamson","39024251","Horror, Mystery","Ужасы, Мистика"
"The Witches","6.93","A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?","1990-05-25","en","Nicolas Roeg","Jasen Fisher, Mai Zetterling, Anjelica Huston, Charlie Potter, Rowan Atkinson","15400000","Fantasy, Family, Horror","Фэнтези, Семейный, Ужасы"
"Troll 2","4","When young Joshua learns that he will be going on vacation with his family to a small town called Nilbog, he protests adamantly. He is warned by the spirit of his deceased grandfather that goblins populate the town. His parents, Michael and Diana, dismiss his apprehensions, but soon learn to appreciate their son's warnings. Guided by his grandfather's ghost, will Joshua and his family stand a chance in fighting off these evil beings?","1990-10-12","en","Claudio Fragasso","Michael Stephenson, George Hardy, Margo Prey, Connie Young, Robert Ormsby","0","Horror, Fantasy","Ужасы, Фэнтези"
"Gremlins 2: The New Batch","6.5","Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!","1990-06-15","en","Joe Dante","Zach Galligan, Phoebe Cates, John Glover, Robert Prosky, Robert Picardo","41482207","Comedy, Horror, Fantasy","Комедия, Ужасы, Фэнтези"
"Brain Dead","5.7","In a battle of man versus machine, Martin, a top neurosurgeon who's studying brain malfunctions that cause mental illness, delves deep into his own mind to save himself from a megalomaniacal corporation.","1990-01-16","en","Adam Simon","Bill Pullman, Bill Paxton, Bud Cort, Nicholas Pryor, Patricia Charbonneau","0","Thriller, Horror, Science Fiction","Триллер, Ужасы, Научная фантастика"
"Repossessed","5.2","It's been some time since Father Jebedaiah Mayii exorcised the Devil from little Nancy Aglet, who is now grown up with a husband and two children of her own. But the prince of darkness wants to go a second round and has returned to repossess her! With Father Mayii unwilling to help, Father Luke Brophy tries his best to help Nancy, even when TV's Ernest Weller plans to air the exorcism live on TV.","1990-09-14","en","Bob Logan","Linda Blair, Ned Beatty, Leslie Nielsen, Anthony Starke, Thom Sharp","1382462","Comedy, Horror","Комедия, Ужасы"
"Dark Angel","5.9","Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...","1990-01-26","en","Craig R. Baxley","Dolph Lundgren, Brian Benben, Betsy Brantley, Matthias Hues, Jay Bilas","9200000","Action, Thriller, Science Fiction, Crime, Horror","Боевик, Триллер, Научная фантастика, Криминал, Ужасы"
"Erotic Ghost Story","6.3","Three vixens have meditated for 1,000 years to able to shed their animal natures and become human. For the final month of their rigors, they have moved near a village where women pray to a god of fertility. One sister visits the god's temple and thinks lustful thoughts. As she leaves, a priest confronts her, warning of dire consequences and of demons that will try to stop the vixens' transformation. Soon, the youngest sister saves a poor scholar from bandits and becomes enamored of him. Each sister visits him, and before long, the youth has made love to all three. After they invite him to stay with them, the playfulness takes a scary turn. Where can they turn for help?","1990-05-19","cn","Lam Ngai Kai","Amy Yip, Man Siu, Hitomi Kudô, Pal Sinn Lap-man, Ha Chi-Chun","0","Fantasy, Drama, Horror","Фэнтези, Драма, Ужасы"
"Flatliners","6.5","Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life.","1990-08-10","en","Joel Schumacher","Kiefer Sutherland, Julia Roberts, Kevin Bacon, William Baldwin, Oliver Platt","61489265","Drama, Science Fiction, Horror","Драма, Научная фантастика, Ужасы"
"Jacob's Ladder","7.4","After returning home from the Vietnam War, veteran Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie, and ex-wife, Sarah, try to help, but to little avail. Even Singer's chiropractor friend, Louis, fails to reach him as he descends into madness.","1990-11-02","en","Adrian Lyne","Tim Robbins, Elizabeth Peña, Danny Aiello, Matt Craven, Pruitt Taylor Vince","26118851","Drama, Mystery, Horror","Драма, Мистика, Ужасы"
"Night of the Living Dead","6.851","In this remake of the classic 1968 film, a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.","1990-10-19","en","Tom Savini","Tony Todd, Patricia Tallman, McKee Anderson, Bill Moseley, Heather Mazur","5835247","Horror","Ужасы"
"Bad Influence","6","Wimpy young executive Michael is about to get pulverized by a jealous boyfriend in a bar when a handsome, mysterious stranger steps in—and then disappears. Later that night, Michael runs into a stranger on a pier, who wheedles his way into Michael's life and turns it upside down.","1990-03-09","en","Curtis Hanson","James Spader, Rob Lowe, Lisa Zane, Marcia Cross, Rosalyn Landor","12626043","Thriller, Horror","Триллер, Ужасы"
"Psycho IV: The Beginning","5.7","When he hears talk radio host Fran Ambrose discussing the topic of matricide, Norman calls in under a false name to tell his story.","1990-11-10","en","Mick Garris","Anthony Perkins, Henry Thomas, Olivia Hussey, CCH Pounder, Warren Frost","0","Horror, Mystery, Thriller, TV Movie","Ужасы, Мистика, Триллер, TV Movie"
"Nightbreed","6.352","A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy.","1990-02-16","en","Clive Barker","Craig Sheffer, Anne Bobby, David Cronenberg, Charles Haid, Hugh Quarshie","8862354","Horror, Fantasy, Action","Ужасы, Фэнтези, Боевик"
"Demon Wind","5","The strange and brutal deaths of Cory’s grandparents has haunted him for years. Determined to discover the truth, he has returned to the desolate region where they lived, along with a group of friends, to try and uncover the mystery. Ignoring warnings from the locals that the area is cursed, Cory and his friends soon realize that the legend is true, as the Demon Wind, possesses and destroys them, one by one, turning them into monsters from hell.","1990-07-05","en","Charles Philip Moore","Eric Larson, Francine Lapensée, Rufus Norris, Jack Vogel, Stephen Quadros","0","Horror","Ужасы"
"Hardware","5.9","Mark 13 is a government-built killing machine programmed with artificial intelligence, able to repair and recharge itself from any energy source. Through a series of coincidences, the cyborg's head ends up in the home of a sculptress as a bizarre Christmas present from her boyfriend. Once inside its new home, the cyborg promptly reconstructs the rest of its body using a variety of household utensils and proceeds to go on a murderous rampage.","1990-09-14","en","Richard Stanley","Dylan McDermott, Stacey Travis, John Lynch, William Hootkins, Carl McCoy","5728953","Science Fiction, Thriller, Horror","Научная фантастика, Триллер, Ужасы"
"Child's Play 3","5.9","Eight years after seemingly destroying the killer doll, teen Andy Barclay is placed in a military school, and the spirit of Chucky returns to renew his quest and seek vengeance after being recreated from a mass of melted plastic.","1991-08-30","en","Jack Bender","Justin Whalin, Brad Dourif, Perrey Reeves, Jeremy Sylvers, Travis Fine","20560255","Horror, Thriller","Ужасы, Триллер"
"Freddy's Dead: The Final Nightmare","5.3","Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality.","1991-09-05","en","Rachel Talalay","Robert Englund, Lisa Zane, Shon Greenblatt, Lezlie Deane, Yaphet Kotto","34872033","Horror, Thriller","Ужасы, Триллер"
"The People Under the Stairs","6.5","Trapped inside a fortified home owned by a mysterious couple, a young boy quickly learns the true nature of the homicidal inhabitants, and secret creatures hidden deep within the walls.","1991-11-01","en","Wes Craven","Brandon Quintin Adams, Everett McGill, Wendy Robie, A.J. Langer, Ving Rhames","31400000","Horror, Comedy","Ужасы, Комедия"
"Critters 3","5.3","As fanged, furious furballs viciously invade an L.A. apartment building and sink their teeth into the low-rent tenants, Josh leads the battle to beat back the conniving critters and save the planet.","1991-12-11","en","Kristine Peterson","Leonardo DiCaprio, John Calvin, Aimee Brooks, Christian Cousins, Joseph Cousins","0","Comedy, Horror, Science Fiction","Комедия, Ужасы, Научная фантастика"
"Alligator 2: The Mutation","4.7","A giant mutated alligator runs riot in a small town after the sewer system washes it into a lake.","1991-07-05","en","Jon Hess","Joseph Bologna, Dee Wallace, Richard Lynch, Woody Brown, Holly Gagnier","0","Horror, Action","Ужасы, Боевик"
"Omen IV: The Awakening","5","Damien Thorn is dead, but his prophecy is reborn in a mysterious girl named Delia, who is adopted by two attorneys.","1991-07-19","en","Jorge Montesi","Faye Grant, Michael Woods, Michael Lerner, Madison Mason, Ann Hearn","0","Horror, Mystery, Thriller, TV Movie","Ужасы, Мистика, Триллер, TV Movie"
"Erotic Ghost Story II","5.2","Wutung a sex demon returns in another body where he falls for the mortal girl Hsiao-yen, but heaven thinks otherwise with the girl being burned at the stake and her soul being incarnated in the just born Fang Yu-yin. Anger fills Wutung, and to stop this vengeance the town near his lair promise to offer him a virgin girl at the end of every month to become his sex slave. Ya-Yin is selected; however her lover rescues her from the clutches of Wutung. So Wutung sends his demon concubine to get her back, and to cause havoc on the village for the interference.","1991-01-23","cn","Peter Ngor Chi-Kwan","Charine Chan, Kwok Yiu-Wah, Anthony Wong Chau-Sang, Chik King-Man, Sayuri Ichijo","0","Horror, Fantasy","Ужасы, Фэнтези"
"Sometimes They Come Back","5.9","Desperate for a job to help him support his family, Jim Norman takes a position teaching high school in the town where his brother was murdered in front of him by teenage bullies twenty-seven years before. The teens who committed the crime are long dead, but now the kids in Jim's new class keep dying and being replaced by new students who look like the deceased hoodlums.","1991-05-07","en","Tom McLoughlin","Tim Matheson, Brooke Adams, Robert Rusler, Chris Demetral, Robert Hy Gorman","0","Horror, TV Movie","Ужасы, TV Movie"
"Scissors","5.1","A woman trying to recover from a sexual attack is locked in a posh apartment with a corpse of the very man she's been dreaming would murder her. She tries to hang on to reality when objects around her seem to come to life.","1991-03-22","en","Frank De Felitta","Sharon Stone, Steve Railsback, Ronny Cox, Michelle Phillips, Vicki Frederick","2368000","Drama, Thriller, Horror","Драма, Триллер, Ужасы"
"Ernest Scared Stupid","5.17","Well-intentioned, eternally bumbling Ernest P. Worrell accidentally releases an evil demon from its sacred tomb. As the demon flexes its power and goes on a ruinous rampage, good-guy Ernest tries to step in to save the town from mass destruction. Trouble is, a 200-year-old curse has scared Ernest stupid, and that means hilarity all around! So, kick back and let the laugh-ridden adventures begin.","1991-10-11","en","John Cherry","Jim Varney, Eartha Kitt, Shay Astar, Bill Byrge, Austin Nagler","0","Comedy, Family, Horror","Комедия, Семейный, Ужасы"
"Nekromantik 2","5.1","Monika lives with Rob, a corpse she loves. Her dilemma intensifies when she meets Mark and considers a normal life with him. She must choose between her affection for Rob and a new relationship.","1991-05-07","de","Jörg Buttgereit","Monika M., Mark Reeder, Beatrice Manowski, Carola Ewers, Astrid Ewerts","0","Horror, Drama, Romance","Ужасы, Драма, Романтика"
"Body Parts","5.8","A criminal psychologist loses his arm in a car crash, and becomes one of three patients to have their missing limbs replaced by those belonging to an executed serial killer. One of them dies violently, and disturbing occurrences start happening to the surviving two.","1991-08-02","en","Eric Red","Jeff Fahey, Lindsay Duncan, Kim Delaney, Zakes Mokae, Brad Dourif","0","Horror, Thriller","Ужасы, Триллер"
"Dolly Dearest","5.5","An American family moves to Mexico to fabricate dolls, but their toy factory happens to be next to a Sanzian grave and the toys come into possession of an old, malicious spirit.","1991-09-01","en","Maria Lease","Denise Crosby, Sam Bottoms, Rip Torn, Chris Demetral, Candace Hutson","0","Horror","Ужасы"
"The Pit and the Pendulum","5.6","Set during the height of Spanish Inquisition. The beautiful and kind-hearted Maria is arrested as a witch when she inadvertently cries out in horror at the public whipping of a child. As Maria’s husband Antonio tries to save her, Torquemada, the Grand Inquisitor, determines to punish Maria with torture for the desire she inflames in him. Loosely based on Edgar Allen Poe's classic short story.","1991-06-27","en","Stuart Gordon","Lance Henriksen, Stephen Lee, William J. Norris, Mark Margolis, Carolyn Purdy-Gordon","3331","Horror, Romance","Ужасы, Романтика"
"The Borrower","4.9","Aliens punish one of their own by sending him to earth. The alien is very violent, and when the body he occupies is damaged, he is forced to find another.","1991-08-16","en","John McNaughton","Rae Dawn Chong, Don Gordon, Tom Towles, Antonio Fargas, Neil Giuntoli","0","Science Fiction, Comedy, Horror","Научная фантастика, Комедия, Ужасы"
"Subspecies","5.378","Three students get caught in the struggle between a good vampire and his evil brother in the Transylvanian mountains.","1991-08-08","en","Ted Nicolaou","Anders Hove, Angus Scrimm, Laura Mae Tate, Irina Movilă, Michelle McBride","0","Horror, Fantasy","Ужасы, Фэнтези"
"Cast a Deadly Spell","6","In a fantastical 1940s where magic is used by everyone, a hard-boiled detective investigates the theft of a mystical tome.","1991-09-07","en","Martin Campbell","Fred Ward, David Warner, Julianne Moore, Clancy Brown, Alexandra Powers","0","TV Movie, Mystery, Comedy, Horror, Fantasy","TV Movie, Мистика, Комедия, Ужасы, Фэнтези"
"Scanners II: The New Order","5.2","A breed of humans with dangerously powerful telepathic abilities -- the scanners -- are being recruited by a corrupt police commander, John Forrester, in his crusade to take over the city.","1991-05-03","en","Christian Duguay","David Hewlett, Deborah Raffin, Yvan Ponton, Isabelle Mejias, Tom Butler","14225876","Horror, Science Fiction, Action","Ужасы, Научная фантастика, Боевик"
"Begotten","5.9","Begotten is the creation myth brought to life, the story of no less than the violent death of God and the (re)birth of nature on a barren earth.","1991-06-05","en","E. Elias Merhige","Brian Salzberg, Donna Dempsey, Stephen Charles Barry","0","Fantasy, Horror","Фэнтези, Ужасы"
"The Holy Virgin Versus the Evil Dead","4.9","A teacher and his five female students are attacked by a monster with neon-green eyes. The teacher escapes but his students are completely dismembered. He soon discovers the monster is worshipped by a cult whose ambition is to rule the world and tear the clothes off young girls.","1991-06-07","cn","Tony Lou Chun-Ku","Donnie Yen, Pauline Yeung Bo-Ling, Ben Lam, Chui Hei-Man, Kathy Chow","326224","Action, Horror, Fantasy","Боевик, Ужасы, Фэнтези"
"Death Becomes Her","6.8","Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot.","1992-07-30","en","Robert Zemeckis","Goldie Hawn, Bruce Willis, Meryl Streep, Isabella Rossellini, Ian Ogilvy","149000000","Comedy, Fantasy, Horror","Комедия, Фэнтези, Ужасы"
"Bram Stoker's Dracula","7.45","In 19th century England, Count Dracula travels to London and meets Mina Harker, a young woman who appears as the reincarnation of his lost love.","1992-11-13","en","Francis Ford Coppola","Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Sadie Frost","215862692","Romance, Horror","Романтика, Ужасы"
"Alien³","6.373","After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.","1992-05-22","en","David Fincher","Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann, Brian Glover","159773545","Science Fiction, Action, Horror","Научная фантастика, Боевик, Ужасы"
"Erotic Ghost Story III","5.6","A wanderer meets a monk with magical powers and becomes entranced by a mural of exquisite dancing women. He enters the painting, unaware of the conspiracy behind it, and must rescue the women who are trapped within.","1992-03-05","cn","Ivan Lai Kai-Ming","Kenny Wong Tak-Ban, Pauline Chan, Otomo Rena, Chik King-Man, Shing Fui-On","1201428","Horror, Drama, Fantasy","Ужасы, Драма, Фэнтези"
"Army of Darkness","7.254","Ash, a handsome, shotgun-toting, chainsaw-armed department store clerk, is time warped backwards into England's Dark Ages, where he romances a beauty and faces legions of the undead.","1992-10-31","en","Sam Raimi","Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove","21502976","Fantasy, Horror, Comedy","Фэнтези, Ужасы, Комедия"
"Raising Cain","6.1","When neighborhood kids begin vanishing, Jenny suspects her child psychologist husband, Carter, may be resuming the deranged experiments his father performed on Carter when he was young. Now, it falls to Jenny to unravel the mystery. And as more children disappear, she fears for her own child's safety.","1992-08-07","en","Brian De Palma","John Lithgow, Lolita Davidovich, Steven Bauer, Frances Sternhagen, Gregg Henry","37170057","Thriller, Crime, Horror","Триллер, Криминал, Ужасы"
"Twin Peaks: Fire Walk with Me","7.4","In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate.","1992-06-03","en","David Lynch","Sheryl Lee, Ray Wise, Mädchen Amick, Dana Ashbrook, Phoebe Augustine","4248389","Drama, Mystery, Horror","Драма, Мистика, Ужасы"
"Candyman","6.611","The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","1992-10-16","en","Bernard Rose","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams","25792310","Drama, Horror, Thriller","Драма, Ужасы, Триллер"
"Sleepwalkers","6","Charles Brady and his mother, Mary, are the last of a dying breed whose needs are not of this world.  They are Sleepwalkers - able to stay alive only by feeding on the life-force of the innocent, but destined to roam the earth, avoiding discovery while searching for their next victim.  That search takes them to the sleepy little town of Travis, Indiana, where beautiful teenager Tanya Robertson is about to become an unwilling pawn in their nightmarish fight for survival.","1992-04-10","en","Mick Garris","Brian Krause, Mädchen Amick, Alice Krige, Jim Haynie, Cindy Pickett","30524764","Horror, Fantasy, Thriller","Ужасы, Фэнтези, Триллер"
"Innocent Blood","6.1","Marie is a vampire with a thirst for bad guys. When she fails to properly dispose of one of her victims, a violent mob boss, she bites off more than she can chew and faces a new, immortal danger","1992-09-25","en","John Landis","Anne Parillaud, Anthony LaPaglia, Robert Loggia, Chazz Palminteri, David Proval","0","Comedy, Horror, Thriller, Crime","Комедия, Ужасы, Триллер, Криминал"
"Braindead","7.4","When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.","1992-08-13","en","Peter Jackson","Timothy Balme, Diana Peñalver, Elizabeth Moody, Ian Watkin, Brenda Kendall","242623","Horror, Comedy","Ужасы, Комедия"
"Stepfather 3","5.3","After escaping a Puget Sound institution, ""Stepfather"" Gene Clifford alters his appearance with plastic surgery and takes on another new identity: Keith Grant. Moving to Deer View, California, Keith falls for a divorced school principal, arousing the suspicions of her wheelchair-bound, computer-savvy son.","1992-06-04","en","Guy Magar","Robert Wightman, Priscilla Barnes, Season Hubley, David Tom, John Ingle","0","Horror, Thriller, TV Movie","Ужасы, Триллер, TV Movie"
"The Lawnmower Man","5.584","A simple man is turned into a genius through the application of computer science.","1992-03-05","en","Brett Leonard","Jeff Fahey, Pierce Brosnan, Jenny Wright, Mark Bringelson, Geoffrey Lewis","32100816","Science Fiction, Horror","Научная фантастика, Ужасы"
"Hellraiser III: Hell on Earth","5.7","Pinhead is set loose on the sinful streets of New York City to create chaos with a fresh cadre of Cenobitic kin.","1992-09-11","en","Anthony Hickox","Terry Farrell, Doug Bradley, Kevin Bernhardt, Ken Carpenter, Paula Marshall","12534961","Horror, Thriller","Ужасы, Триллер"
"Single White Female","6.3","Attractive Manhattanite Allison Jones has it all: a handsome beau, a rent-controlled apartment, and a promising career as a fashion designer. When boyfriend Sam proves unfaithful, Allison strikes out on her own but must use the classifieds to seek out a roommate in order to keep her spacious digs.","1992-08-14","en","Barbet Schroeder","Bridget Fonda, Jennifer Jason Leigh, Steven Weber, Peter Friedman, Stephen Tobolowsky","48017402","Thriller, Horror","Триллер, Ужасы"
"Buffy the Vampire Slayer","5.6","Blonde, bouncy Buffy is your typical high school cheerleader. But all that changes when a strange man informs her she's been chosen by fate to kill vampires.","1992-07-24","en","Fran Rubel Kuzui","Kristy Swanson, Donald Sutherland, Paul Reubens, Rutger Hauer, Luke Perry","16624456","Action, Comedy, Horror","Боевик, Комедия, Ужасы"
"Split Second","5.9","In a flooded future London, Detective Harley Stone hunts a serial killer who murdered his partner and has haunted him ever since — but he soon discovers what he is hunting might not be human.","1992-05-01","en","Tony Maylam","Rutger Hauer, Kim Cattrall, Michael J. Pollard, Alastair Duncan, Alun Armstrong","5430822","Action, Crime, Horror, Science Fiction","Боевик, Криминал, Ужасы, Научная фантастика"
"Demonic Toys","5.4","While on a stakeout, Judith Gray, a beautiful, tough cop, is trapped inside a warehouse full of toys that have been awakened to murderous life by a strange child of darkness.","1992-03-12","en","Peter Manoogian","Tracy Scoggins, Bentley Mitchum, Daniel Cerny, Michael Russo, Barry Lynch","0","Horror","Ужасы"
"Children of the Corn II: The Final Sacrifice","4.8","When a tabloid reporter and his son travel to a quiet Midwestern town to investigate a gruesome massacre, they fall victim to a possessed orphan named Micah.","1992-01-29","en","David Price","Terence Knox, Paul Scherrer, Ryan Bollman, Christie Clark, Rosalind Allen","6980986","Horror","Ужасы"
"Midori","6.2","After losing her parents, young flower selling Midori is put up by a fairground group. She is abused and forced to slavery, until the arrival of an enigmatic magician of short stature, who gives her hope for a better future.","1992-05-02","ja","Hiroshi Harada","Minako Naka, Norihiko Morishita, Keinosuke Okamoto, Kazuyoshi Hayashi, Yoshifumi Nomura","0","Animation, Drama, Horror, Romance","Анимация, Драма, Ужасы, Романтика"
"Jason Goes to Hell: The Final Friday","4.6","Jason Voorhees is tracked down and blown to bits by a special FBI task force, reborn with the bone-chilling ability to assume the identity of anyone he touches.","1993-08-13","en","Adam Marcus","Kane Hodder, John D. LeMay, Kari Keegan, Steven Williams, Steven Culp","15935068","Horror, Thriller","Ужасы, Триллер"
"Leprechaun","5.6","A demonic leprechaun terrorizes a group of young people whom he believes stole his gold.","1993-01-08","en","Mark Jones","Warwick Davis, Jennifer Aniston, Ken Olandt, Mark Holton, Robert Hy Gorman","8600000","Horror, Comedy, Fantasy","Ужасы, Комедия, Фэнтези"
"Cronos","6.7","Faced with his own mortality, an ingenious alchemist tried to perfect an invention that would provide him with the key to eternal life. It was called the Cronos device. When he died more than 400 years later, he took the secrets of this remarkable device to the grave with him. Now, an elderly antiques dealer has found the hellish machine hidden in a statue and learns about its incredible powers. The more he uses the device, the younger he becomes...but nothing comes without a price. Life after death is just the beginning as this nerve-shattering thriller unfolds and the fountain of youth turns bloody.","1993-11-05","es","Guillermo del Toro","Federico Luppi, Ron Perlman, Claudio Brook, Margarita Isabel, Tamara Shanath","0","Drama, Horror, Thriller","Драма, Ужасы, Триллер"
"The Good Son","6.76","A young boy stays with his aunt and uncle, and befriends his cousin who's the same age. But his cousin begins showing increasing signs of psychotic behavior.","1993-09-24","en","Joseph Ruben","Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse, Daniel Hugh Kelly","60613008","Thriller, Drama, Horror","Триллер, Драма, Ужасы"
"Ticks","5.7","Teens camping in a northern California retreat are terrorized by mutant insects created by evil, polluting pot farmers.","1993-10-12","en","Tony Randel","Rosalind Allen, Ami Dolenz, Seth Green, Virginya Keehne, Ray Oriel","0","Horror, Science Fiction","Ужасы, Научная фантастика"
"Return of the Living Dead III","6.556","Having recently witnessed the horrific results of a top secret project to bring the dead back to life, a distraught teenager performs the operation on his girlfriend after she's killed in a motorcycle accident.","1993-10-01","en","Brian Yuzna","Melinda Clarke, J. Trevor Edmond, Kent McCord, Sarah Douglas, James T. Callahan","54207","Science Fiction, Romance, Horror","Научная фантастика, Романтика, Ужасы"
"Necronomicon","6","H.P. Lovecraft anthology is divided into four segments: ""The Library"" which is the wraparound segment involving Lovecraft's research into the Book of The Dead and his unwitting release of a monster and his writing of the following horror segments ""The Drowned"", ""The Cold"", and ""Whispers"".","1993-11-01","en","Christophe Gans","Jeffrey Combs, Tony Azito, Juan Fernández, Brian Yuzna, Bruce Payne","0","Horror","Ужасы"
"The Untold Story","6.202","Macau cops begin to suspect a man running a pork buns restaurant of murder, after tracing the origin of a case full of chopped up human remains that washed ashore, which leads them to him.","1993-05-13","cn","Herman Yau","Danny Lee Sau-Yin, Anthony Wong Chau-Sang, Emily Kwan Bo-Wai, Parkman Wong, Shing Fui-On","0","Comedy, Crime, Horror","Комедия, Криминал, Ужасы"
"Warlock: The Armageddon","5.2","Every six hundred years, a great evil has the opportunity to escape and unleash Armageddon. A group of five stones has the power to either free the evil, or banish it for another six hundred years. An order of Druids battles with a Warlock determined to unleash his father upon the world.","1993-05-01","en","Anthony Hickox","Julian Sands, Chris Young, Paula Marshall, Joanna Pacula, Steve Kahan","3902679","Fantasy, Horror, Science Fiction, Action","Фэнтези, Ужасы, Научная фантастика, Боевик"
"Body Bags","6.1","A woman working the late shift at a gas station while a killer is on the loose; a man who can't stand the thought of losing his hair; a baseball player that submits to an eye transplant. An anthology of terror.","1993-08-08","en","John Carpenter","John Carpenter, Tom Arnold, Tobe Hooper, Robert Carradine, Alex Datcher","0","Horror, Comedy, TV Movie","Ужасы, Комедия, TV Movie"
"Dollman vs. Demonic Toys","4.9","The Demonic Toys are back, so policewoman Judith Grey seeks the help of 12 inch tall Dollman and his 12 inch tall girlfriend, Nurse Ginger. The Toys hole up in an evil deserted toy factory and it's up to Dollman to keep the Toys from summoning the powers of darkness to the Earth.","1993-08-13","en","Charles Band","Tim Thomerson, Tracy Scoggins, Melissa Behr, Phil Fondacaro, R.C. Bates","0","Horror, Science Fiction, Fantasy","Ужасы, Научная фантастика, Фэнтези"
"Needful Things","6.2","A mysterious new shop opens in a small town which always seems to stock the deepest desires of each shopper, with a price far heavier than expected.","1993-08-27","en","Fraser Clarke Heston","Max von Sydow, Ed Harris, Bonnie Bedelia, Amanda Plummer, J.T. Walsh","15185672","Drama, Horror","Драма, Ужасы"
